subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
N Central,France,NA,2,Late Pleniglacial,middle Magdalenian,Gazel,7 sec F,Gazel 7,17630,14462,62,0.0043,intcal13,KIA-22856,2.4199,43.3242,charcoal,?,"AMS, 4527",NA,Leuven,NA
N Central,France,NA,2,Late Pleniglacial,Middle Magdalenian,Gazel,7 sec F,Gazel 7,18264,15070,270,0.0179,intcal13,Gif-2655,2.4199,43.3242,charcoal,NA,"Conv 14C, 526",NA,Leuven,NA
N Central,France,NA,4,Holocene,Mesolithic,Gazel,CH4 secteur H1/G1,Gazel CH4 secteur H1/G1,8810,7975,35,0.0044,intcal13,Lyon4145,2.4199,43.3242,NA,NA,NA,Banadora,O Garcia,NA
N Central,France,NA,4,Holocene,Mesolithic,Gazel,ECH G,Gazel ECH G,7676,6815,50,0.0073,intcal13,Lyon2245,2.4199,43.3242,NA,NA,NA,Banadora,O Garcia,NA
N Central,France,NA,4,Holocene,Mesolithic?,Gazel,F4,Gazel F4,7745,6905,90,0.013,intcal13,GrN6702,2.4199,43.3242,NA,NA,NA,Manen,O Garcia,NA
N Central,France,Languedoc-Rouissillon,4,Holocene,Sauveterrian,Gazel,porche c.6,Gazel porche 6,8719,7880,75,0.0095,intcal13,GrN-6704,2.4199,43.3242,NA,NA,NA,NA,PANCEA,NA
N Central,France,NA,4,Holocene,Mesolithic?,Gazel,R Z 240,Gazel R Z 240,8806,7960,50,0.0063,intcal13,Lyon1994,2.4199,43.3242,NA,NA,NA,Banadora,O Garcia,NA
Southeast,Italy,NA,2,Late Pleniglacial,Evolved Epigravettian,Giovanna,B,Giovanna B,15288,12840,100,0.0078,intcal13,R-484,15.1800,36.9700,NA,NA,"Conv 14C, 7260",Alessio et al. 1976,Leuven,NA
N Central,France,Provence-Alpes-Cรดte d'Azur,4,Holocene,Mesolithic,Gordes,NA,Gordes,9766,8620,380,0.0441,intcal13,Ly-2200,5.2000,43.9000,NA,NA,NA,NA,PANCEA,NA
Southwest,Spain,S&E Spain,1,LGM,Early Upper Palaeolithic,Gorham's Cave,Context 13a,Gorham's Cave Context 13a,33167,29250,750,0.0256,intcal13,OxA-7110,-5.3421,36.1204,pinus charcoal,-24.4,"AMS, 1507","Carbonell e.a. 2000, In: Bar-Yosef & Pilbeam, The Geography of Neandertals and Modern Humans in Europe and the Greater Mediterranean, Peabody Museum Bulletin 8: 5-34,",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Early Upper Palaeolithic,Gorham's Cave,Context 7,Gorham's Cave Context 7,29820,25680,280,0.0109,intcal13,OxA-6997,-5.3421,36.1204,burnt bone,-21.2,"AMS, 1506","Carbonell e.a. 2000, In: Bar-Yosef & Pilbeam, The Geography of Neandertals and Modern Humans in Europe and the Greater Mediterranean, Peabody Museum Bulletin 8: 5-34,",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Early Upper Palaeolithic Aurignacian?,Gorham's Cave,Context 9,Gorham's Cave Context 9,33100,29250,650,0.0222,intcal13,OxA-7077,-5.3421,36.1204,charcoal Pinus,-24.7,"AMS, 2007","Carbonell e.a. 2000, In: Bar-Yosef & Pilbeam, The Geography of Neandertals and Modern Humans in Europe and the Greater Mediterranean, Peabody Museum Bulletin 8: 5-34,",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Early Upper Palaeolithic Aurignacian?,Gorham's Cave,Context 9,Gorham's Cave Context 9,33595,29800,700,0.0235,intcal13,OxA-7075,-5.3421,36.1204,Pinus charcoal,-27.3,"AMS, 2008","Carbonell e.a. 2000, In: Bar-Yosef & Pilbeam, The Geography of Neandertals and Modern Humans in Europe and the Greater Mediterranean, Peabody Museum Bulletin 8: 5-34,",Leuven,NA
Southwest,Gibraltar,S&E Spain,1,LGM,Aurignacian Early Upper Palaeolithic,Gorham's Cave,D,Gorham's Cave D,32652,28700,200,0.007,intcal13,GrN-1455,-5.3421,36.1204,Charcoal,NA,"Conv 14C, 4023",NA,Leuven,NA
Southwest,Gibraltar,S&E Spain,1,LGM,Aurignacian Early Upper Palaeolithic,Gorham's Cave,D,Gorham's Cave D,31994,27860,300,0.0108,intcal13,GrN-1363,-5.3421,36.1204,Charcoal,NA,"Conv 14C, 3888",NA,Leuven,NA
Southwest,Spain,S&E Spain,2,Late Pleniglacial,"Upper Palaeolithic, Magdalenian",Gorham's Cave,III,Gorham's Cave III,16796,13870,40,0.0029,intcal13,Beta-181896,-5.3421,36.1204,charcoal piece,-24,"AMS, 2939",Finayson C. e.a. 2006. Nature doi:10.1038/nature05195. Carrion J.S. e.a. 2008. QSR 27: 2118-2135.,Leuven,NA
Southwest,Spain,S&E Spain,2,Late Pleniglacial,"Upper Palaeolithic, Magdalenian",Gorham's Cave,III,Gorham's Cave III,16718,13820,50,0.0036,intcal13,Beta-196780,-5.3421,36.1204,charcoal piece,-24.6,"AMS, 2943",Finayson C. e.a. 2006. Nature doi:10.1038/nature05195. Carrion J.S. e.a. 2008. QSR 27: 2118-2135.,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,"Upper Palaeolithic, Solutrean",Gorham's Cave,III,Gorham's Cave III,19810,16420,60,0.0037,intcal13,Beta-181893,-5.3421,36.1204,"charcoal, (sediment)",-25.5,"AMS, 2945",Finayson C. e.a. 2006. Nature doi:10.1038/nature05195. Carrion J.S. e.a. 2008. QSR 27: 2118-2135.,Leuven,NA
Southwest,Spain,S&E Spain,3,End Glacial,"Upper Palaeolithic, Magdalenian",Gorham's Cave,III,Gorham's Cave III,12798,10880,40,0.0037,intcal13,Beta-185343,-5.3421,36.1204,charcoal piece,-25.4,"AMS, 2940",Finayson C. e.a. 2006. Nature doi:10.1038/nature05195. Carrion J.S. e.a. 2008. QSR 27: 2118-2135.,Leuven,NA
