subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
Southwest,Spain,S&E Spain,4,Holocene,Mesolithic,82,La Cocina,phase B,La Cocina phase B,7852,5018,498,NA,799,0.159,179,0.036,NA,NA,NA,247,193,53,1,0.785,449,37.00,39.12,-0.7258,39.2527,0.124
N Central,Spain,NE Spain,3,End Glacial,Microbladelet Epipaleolithic,65,La Guineu,,La Guineu,11314,307,NA,NA,23,0.075,11,0.036,1,0.003,0.522,NA,NA,NA,NA,NA,543,26.43,30.70,1.5883,41.4306,0.039
N Central,France,Provence,3,End Glacial,Mesolithic,28,La Montagne,4000,La Montagne 4e3,10062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,522,0,0,1.000,92,37.17,47.24,5.0778,43.7526,NA
Southwest,Spain,NE Spain,2,Late Pleniglacial,Magdalenian,55,La Roureda,Excavación Román 2010,La Roureda Excavación Román 2010,NA,3205,2006,NA,286,0.089,102,0.032,0,0.000,0.357,NA,NA,NA,NA,NA,1170,53.19,85.61,-0.3095,40.4580,0.057
N Central,France,Languedoc,2,Late Pleniglacial,Upper Final Magdalenian,10,La Teulera,,La Teulera,NA,3431,2806,57,625,0.182,238,0.069,0,0.000,0.381,0,0,0,0,NA,222,16.84,43.88,2.7500,42.8700,0.113
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),90,Lago Baccio,,Lago Baccio,NA,250,233,4,13,0.052,1,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1568,37.68,38.97,10.5897,44.1308,NA
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic,91,Lama Lite,,Lama Lite,NA,2478,1395,31,349,0.141,18,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1760,36.93,40.45,10.4132,44.2609,NA
N Central,France,Languedoc,1,LGM,Magdalenian/Badegoulian,9,Lassac,Locus 1 c2,Lassac Locus 1 c2,20214,10720,10192,111,528,0.049,222,0.021,4,0.000,0.428,0,0,0,0,NA,265,54.63,107.54,2.4300,43.3100,0.029
N Central,France,Languedoc,4,Holocene,Mesolithic,17,Le Plaisir,,Le Plaisir,9837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3842,6,128,7,0.045,81,24.83,31.19,4.3237,43.7187,NA
N Central,France,Provence,4,Holocene,Mesolithic,39,Les Agnels,bb,Les Agnels bb,9689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,1,4,0,0.200,229,57.53,58.18,5.3954,43.8764,NA
